Id,Label
0,3
1,0
2,4
3,0
4,0
5,3
6,4
7,4
8,1
9,4
10,0
11,4
12,2
13,1
14,2
15,4
16,4
17,1
18,1
19,2
20,1
21,3
22,3
23,3
24,1
25,1
26,1
27,3
28,1
29,4
30,1
31,4
32,0
33,0
34,3
35,3
36,3
37,0
38,3
39,1
40,3
41,3
42,0
43,2
44,1
45,0
46,0
47,2
48,1
49,4
50,4
51,1
52,0
53,4
54,2
55,0
56,0
57,0
58,1
59,4
60,0
61,0
62,3
63,2
64,3
65,1
66,0
67,0
68,2
69,4
70,3
71,0
72,3
73,2
74,1
75,4
76,1
77,1
78,2
79,4
80,4
81,1
82,2
83,3
84,0
85,1
86,0
87,3
88,3
89,1
90,4
91,2
92,0
93,4
94,0
95,1
96,3
97,4
98,3
99,0
100,1
101,1
102,1
103,1
104,3
105,4
106,2
107,1
108,0
109,1
110,2
111,1
112,3
113,0
114,0
115,0
116,2
117,4
118,3
119,4
120,3
121,4
122,1
123,4
124,1
125,2
126,4
127,0
128,3
129,2
130,1
131,3
132,1
133,3
134,3
135,3
136,1
137,2
138,1
139,1
140,0
141,2
142,1
143,4
144,4
145,0
146,0
147,4
148,1
149,3
150,2
151,0
152,1
153,4
154,0
155,2
156,0
157,0
158,2
159,3
160,1
161,4
162,1
163,0
164,2
165,1
166,4
167,3
168,3
169,2
170,4
171,0
172,3
173,1
174,0
175,1
176,0
177,3
178,4
179,3
180,0
181,0
182,3
183,2
184,1
185,0
186,4
187,0
188,0
189,2
190,0
191,2
192,0
193,3
194,0
195,1
196,1
197,1
198,3
199,4
200,4
201,0
202,4
203,2
204,2
205,0
206,4
207,1
208,3
209,0
210,3
211,3
212,1
213,1
214,0
215,3
216,4
217,4
218,4
219,4
220,4
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,4
230,3
231,3
232,4
233,2
234,4
235,1
236,3
237,2
238,1
239,3
240,3
241,0
242,0
243,3
244,1
245,2
246,1
247,2
248,3
249,2
250,1
251,0
252,0
253,4
254,4
255,2
256,1
257,3
258,3
259,0
260,2
261,4
262,1
263,3
264,2
265,1
266,3
267,4
268,2
269,0
270,3
271,2
272,3
273,2
274,1
275,1
276,3
277,3
278,0
279,4
280,1
281,3
282,0
283,3
284,4
285,1
286,3
287,1
288,2
289,3
290,3
291,2
292,0
293,3
294,3
295,2
296,1
297,1
298,4
299,2
300,1
301,3
302,2
303,1
304,1
305,3
306,2
307,1
308,0
309,2
310,2
311,3
312,0
313,0
314,1
315,1
316,1
317,1
318,2
319,1
320,0
321,4
322,0
323,4
324,1
325,1
326,0
327,2
328,4
329,3
330,0
331,2
332,2
333,1
334,2
335,3
336,3
337,3
338,0
339,3
340,3
341,4
342,2
343,2
344,1
345,0
346,1
347,2
348,0
349,0
350,4
351,2
352,0
353,2
354,0
355,4
356,1
357,0
358,2
359,2
360,0
361,1
362,1
363,1
364,1
365,3
366,2
367,4
368,4
369,1
370,4
371,1
372,4
373,4
374,0
375,1
376,1
377,4
378,2
379,4
380,0
381,3
382,3
383,2
384,1
385,2
386,3
387,0
388,3
389,0
390,0
391,4
392,3
393,2
394,0
395,2
396,4
397,4
398,4
399,0
400,4
401,0
402,2
403,3
404,3
405,4
406,3
407,2
408,1
409,1
410,2
411,1
412,2
413,2
414,2
415,0
416,0
417,4
418,1
419,0
420,4
421,2
422,3
423,2
424,3
425,2
426,0
427,4
428,3
429,4
430,4
431,1
432,3
433,3
434,4
435,0
436,1
437,0
438,0
439,2
440,1
441,3
442,2
443,3
444,2
445,1
446,3
447,4
448,2
449,1
450,4
451,0
452,1
453,0
454,2
455,2
456,0
457,1
458,0
459,1
460,4
461,1
462,4
463,3
464,0
465,4
466,4
467,1
468,2
469,4
470,0
471,0
472,4
473,0
474,3
475,0
476,4
477,1
478,4
479,3
480,4
481,0
482,3
483,2
484,3
485,4
486,0
487,2
488,4
489,3
490,1
491,0
492,1
493,4
494,0
495,4
496,4
497,2
498,0
499,2
500,0
501,4
502,2
503,4
504,4
505,3
506,3
507,4
508,0
509,0
510,0
511,3
512,4
513,2
514,3
515,4
516,0
517,3
518,4
519,2
520,1
521,3
522,2
523,3
524,4
525,0
526,0
527,4
528,4
529,0
530,4
531,3
532,1
533,4
534,1
535,4
536,1
537,2
538,4
539,4
540,4
541,4
542,1
543,4
544,3
545,0
546,1
547,0
548,3
549,4
550,4
551,2
552,1
553,2
554,0
555,0
556,1
557,4
558,0
559,4
560,0
561,1
562,2
563,3
564,3
565,0
566,0
567,3
568,1
569,0
570,1
571,0
572,0
573,4
574,3
575,4
576,1
577,1
578,0
579,1
580,3
581,2
582,3
583,0
584,0
585,3
586,3
587,3
588,0
589,2
590,2
591,1
592,3
593,3
594,1
595,1
596,3
597,2
598,3
599,2
600,2
601,2
602,0
603,2
604,0
605,3
606,2
607,2
608,4
609,0
610,1
611,1
612,0
613,0
614,4
615,2
616,4
617,3
618,3
619,0
620,2
621,3
622,1
623,3
624,4
625,0
626,1
627,3
628,3
629,1
630,1
631,2
632,3
633,1
634,4
635,1
636,3
637,1
638,1
639,2
640,3
641,0
642,0
643,0
644,3
645,3
646,3
647,0
648,1
649,3
650,3
651,4
652,4
653,3
654,0
655,1
656,3
657,0
658,2
659,2
660,1
661,0
662,3
663,1
664,3
665,3
666,3
667,0
668,1
669,2
670,2
671,1
672,4
673,3
674,1
675,0
676,1
677,4
678,0
679,2
680,2
681,4
682,4
683,4
684,2
685,4
686,3
687,4
688,3
689,4
690,0
691,1
692,4
693,1
694,1
695,2
696,3
697,0
698,1
699,1
700,3
701,4
702,0
703,2
704,1
705,4
706,2
707,3
708,1
709,3
710,2
711,3
712,4
713,1
714,2
715,3
716,2
717,2
718,2
719,4
720,1
721,2
722,3
723,3
724,0
725,4
726,0
727,4
728,3
729,1
730,1
731,0
732,3
733,4
734,3
735,4
736,2
737,1
738,4
739,0
740,2
741,4
742,1
743,1
744,2
745,4
746,2
747,4
748,3
749,4
750,1
751,4
752,0
753,2
754,0
755,0
756,0
757,0
758,3
759,0
760,3
761,2
762,4
763,0
764,2
765,4
766,4
767,3
768,3
769,1
770,4
771,0
772,1
773,3
774,3
775,4
776,3
777,3
778,1
779,4
780,2
781,1
782,4
783,1
784,1
785,4
786,1
787,2
788,1
789,2
790,2
791,1
792,3
793,1
794,4
795,0
796,2
797,0
798,3
799,1
800,4
801,4
802,0
803,3
804,3
805,4
806,3
807,4
808,2
809,4
810,4
811,4
812,0
813,3
814,3
815,1
816,3
817,1
818,4
819,0
820,2
821,4
822,1
823,4
824,2
825,3
826,2
827,2
828,1
829,0
830,2
831,3
832,4
833,4
834,1
835,4
836,0
837,1
838,0
839,0
840,3
841,0
842,3
843,4
844,4
845,4
846,4
847,0
848,1
849,2
850,2
851,3
852,1
853,4
854,1
855,3
856,3
857,2
858,3
859,3
860,2
861,2
862,3
863,4
864,1
865,1
866,3
867,2
868,4
869,3
870,1
871,0
872,3
873,2
874,1
875,1
876,2
877,0
878,2
879,1
880,0
881,0
882,2
883,0
884,4
885,0
886,1
887,2
888,0
889,0
890,0
891,1
892,0
893,2
894,1
895,4
896,2
897,4
898,3
899,3
900,4
901,1
902,1
903,2
904,2
905,3
906,3
907,4
908,4
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,3
917,1
918,4
919,2
920,4
921,3
922,1
923,2
924,4
925,4
926,3
927,2
928,3
929,3
930,4
931,0
932,1
933,4
934,3
935,1
936,4
937,0
938,3
939,4
940,0
941,4
942,3
943,4
944,1
945,4
946,0
947,4
948,3
949,3
950,1
951,3
952,1
953,4
954,0
955,2
956,4
957,2
958,2
959,3
960,0
961,1
962,3
963,2
964,3
965,0
966,1
967,3
968,2
969,0
970,2
971,3
972,4
973,2
974,2
975,3
976,0
977,2
978,4
979,2
980,3
981,2
982,3
983,0
984,4
985,1
986,2
987,1
988,4
989,4
990,0
991,1
992,3
993,3
994,2
995,0
996,1
997,0
998,1
999,2
1000,1
1001,3
1002,0
1003,1
1004,3
1005,3
1006,0
1007,2
1008,3
1009,4
1010,4
1011,1
1012,3
1013,4
1014,4
1015,2
1016,0
1017,1
1018,3
1019,1
1020,1
1021,4
1022,2
1023,3
1024,4
1025,0
1026,3
1027,0
1028,4
1029,0
1030,3
1031,1
1032,0
1033,3
1034,2
1035,3
1036,1
1037,0
1038,2
1039,3
1040,2
1041,0
1042,4
1043,4
1044,4
1045,3
1046,0
1047,2
1048,1
1049,2
1050,3
1051,0
1052,4
1053,2
1054,3
1055,3
1056,4
1057,2
1058,4
1059,3
1060,1
1061,4
1062,2
1063,4
1064,2
1065,0
1066,0
1067,1
1068,2
1069,4
1070,0
1071,0
1072,1
1073,1
1074,1
1075,0
1076,1
1077,3
1078,3
1079,4
1080,4
1081,0
1082,0
1083,1
1084,0
1085,1
1086,4
1087,0
1088,4
1089,1
1090,0
1091,3
1092,4
1093,4
1094,1
1095,3
1096,1
1097,2
1098,1
1099,3
1100,0
1101,3
1102,0
1103,3
1104,0
1105,1
1106,0
1107,1
1108,2
1109,3
1110,3
1111,2
1112,1
1113,2
1114,0
1115,1
1116,4
1117,3
1118,0
1119,4
1120,4
1121,0
1122,4
1123,3
1124,1
1125,1
1126,1
1127,4
1128,1
1129,1
1130,2
1131,0
1132,1
1133,3
1134,1
1135,3
1136,0
1137,2
1138,1
1139,0
1140,3
1141,4
1142,3
1143,1
1144,3
1145,3
1146,2
1147,0
1148,1
1149,1
1150,3
1151,2
1152,0
1153,0
1154,4
1155,4
1156,3
1157,2
1158,1
1159,2
1160,1
1161,1
1162,2
1163,2
1164,3
1165,2
1166,1
1167,0
1168,2
1169,1
1170,0
1171,4
1172,3
1173,0
1174,0
1175,3
1176,1
1177,2
1178,1
1179,0
1180,2
1181,1
1182,3
1183,1
1184,4
1185,1
1186,2
1187,0
1188,1
1189,2
1190,4
1191,1
1192,3
1193,1
1194,4
1195,1
1196,2
1197,0
1198,1
1199,2
1200,2
1201,0
1202,1
1203,1
1204,3
1205,2
1206,2
1207,1
1208,3
1209,2
1210,2
1211,4
1212,0
1213,0
1214,1
1215,2
1216,3
1217,0
1218,4
1219,2
1220,1
1221,3
1222,3
1223,3
1224,1
1225,2
1226,3
1227,0
1228,2
1229,0
1230,4
1231,4
1232,2
1233,1
1234,1
1235,0
1236,4
1237,4
1238,1
1239,1
1240,0
1241,4
1242,3
1243,3
1244,2
1245,2
1246,2
1247,0
1248,0
1249,2
1250,1
1251,4
1252,0
1253,3
1254,4
1255,4
1256,2
1257,4
1258,2
1259,2
1260,1
1261,2
1262,0
1263,3
1264,1
1265,2
1266,4
1267,1
1268,3
1269,3
1270,1
1271,4
1272,1
1273,0
1274,2
1275,0
1276,3
1277,1
1278,0
1279,4
1280,1
1281,3
1282,1
1283,2
1284,2
1285,1
1286,1
1287,0
1288,3
1289,1
1290,2
1291,3
1292,2
1293,4
1294,0
1295,3
1296,2
1297,4
1298,2
1299,0
1300,4
1301,4
1302,0
1303,2
1304,1
1305,2
1306,1
1307,1
1308,4
1309,4
1310,4
1311,3
1312,4
1313,3
1314,0
1315,3
1316,1
1317,4
1318,3
1319,0
1320,3
1321,3
1322,4
1323,2
1324,0
1325,1
1326,3
1327,4
1328,3
1329,4
1330,2
1331,0
1332,4
1333,0
1334,2
1335,0
1336,2
1337,1
1338,2
1339,0
1340,0
1341,0
1342,2
1343,0
1344,2
1345,3
1346,0
1347,0
1348,3
1349,1
1350,2
1351,2
1352,4
1353,3
1354,0
1355,0
1356,3
1357,2
1358,2
1359,0
1360,0
1361,3
1362,3
1363,0
1364,1
1365,2
1366,3
1367,3
1368,3
1369,3
1370,4
1371,3
1372,0
1373,1
1374,4
1375,4
1376,4
1377,0
1378,2
1379,0
1380,1
1381,2
1382,4
1383,2
1384,1
1385,4
1386,4
1387,4
1388,4
1389,4
1390,3
1391,0
1392,4
1393,2
1394,1
1395,4
1396,2
1397,1
1398,4
1399,3
1400,0
1401,4
1402,1
1403,3
1404,4
1405,0
1406,1
1407,1
1408,0
1409,1
1410,2
1411,4
1412,4
1413,4
1414,0
1415,2
1416,3
1417,0
1418,0
1419,2
1420,2
1421,1
1422,4
1423,1
1424,2
1425,0
1426,4
1427,2
1428,3
1429,4
1430,0
1431,1
1432,4
1433,3
1434,2
1435,3
1436,0
1437,2
1438,1
1439,1
1440,3
1441,2
1442,1
1443,3
1444,2
1445,1
1446,0
1447,1
1448,1
1449,3
1450,0
1451,4
1452,2
1453,0
1454,3
1455,2
1456,1
1457,2
1458,2
1459,4
1460,2
1461,0
1462,2
1463,3
1464,0
1465,2
1466,2
1467,4
1468,2
1469,1
1470,2
1471,3
1472,4
1473,4
1474,3
1475,0
1476,0
1477,0
1478,3
1479,3
1480,1
1481,3
1482,0
1483,1
1484,0
1485,0
1486,4
1487,1
1488,0
1489,3
1490,3
1491,3
1492,0
1493,4
1494,3
1495,4
1496,4
1497,1
1498,0
1499,3
1500,2
1501,4
1502,1
1503,2
1504,1
1505,1
1506,4
1507,3
1508,4
1509,0
1510,3
1511,2
1512,1
1513,2
1514,4
1515,2
1516,2
1517,4
1518,0
1519,3
1520,1
1521,3
1522,0
1523,0
1524,2
1525,3
1526,2
1527,2
1528,3
1529,3
1530,2
1531,0
1532,2
1533,1
1534,4
1535,2
1536,4
1537,0
1538,2
1539,1
1540,3
1541,3
1542,4
1543,2
1544,0
1545,2
1546,2
1547,3
1548,3
1549,1
1550,1
1551,0
1552,4
1553,4
1554,1
1555,1
1556,2
1557,1
1558,2
1559,0
1560,2
1561,4
1562,3
1563,1
1564,4
1565,0
1566,0
1567,2
1568,2
1569,3
1570,1
1571,4
1572,3
1573,3
1574,0
1575,0
1576,0
1577,1
1578,3
1579,2
1580,2
1581,1
1582,4
1583,2
1584,2
1585,2
1586,0
1587,1
1588,0
1589,1
1590,3
1591,4
1592,2
1593,4
1594,4
1595,1
1596,1
1597,1
1598,4
1599,1
1600,2
1601,4
1602,3
1603,3
1604,1
1605,2
1606,3
1607,4
1608,2
1609,4
1610,3
1611,4
1612,2
1613,0
1614,1
1615,2
1616,2
1617,4
1618,0
1619,3
1620,2
1621,1
1622,0
1623,0
1624,3
1625,0
1626,0
1627,1
1628,2
1629,2
1630,3
1631,0
1632,0
1633,4
1634,3
1635,1
1636,3
1637,4
1638,0
1639,4
1640,1
1641,1
1642,3
1643,3
1644,2
1645,1
1646,0
1647,0
1648,1
1649,4
1650,1
1651,4
1652,1
1653,4
1654,2
1655,1
1656,0
1657,1
1658,0
1659,2
1660,3
1661,2
1662,0
1663,2
1664,2
1665,0
1666,4
1667,2
1668,0
1669,4
1670,4
1671,4
1672,0
1673,1
1674,1
1675,0
1676,0
1677,4
1678,0
1679,2
1680,0
1681,0
1682,4
1683,0
1684,1
1685,3
1686,0
1687,3
1688,1
1689,1
1690,3
1691,2
1692,2
1693,1
1694,0
1695,2
1696,1
1697,1
1698,2
1699,1
1700,4
1701,1
1702,1
1703,4
1704,3
1705,4
1706,0
1707,2
1708,1
1709,2
1710,4
1711,1
1712,0
1713,3
1714,4
1715,4
1716,0
1717,2
1718,4
1719,2
1720,0
1721,1
1722,1
1723,3
1724,0
1725,4
1726,3
1727,4
1728,2
1729,0
1730,1
1731,1
1732,1
1733,1
1734,0
1735,3
1736,0
1737,0
1738,3
1739,2
1740,0
1741,4
1742,4
1743,3
1744,4
1745,0
1746,0
1747,1
1748,0
1749,0
1750,4
1751,1
